frameIndex,thumb_angle,thumb_angle_interval,thumb_v,index_angle,index_angle_interval,index_v,middle_angle,middle_interval,middle_v,ring_angle,ring_interval,ring_v,pinky_angle,pinky_interval,pinky_v,palm_angle,palm_interval,palm_v,date_now
frameIndex,thumb_angle,thumb_angle_interval,thumb_v,index_angle,index_angle_interval,index_v,middle_angle,middle_interval,middle_v,ring_angle,ring_interval,ring_v,pinky_angle,pinky_interval,pinky_v,palm_angle,palm_interval,palm_v
frameIndex,thumb_angle,thumb_angle_interval,thumb_v,index_angle,index_angle_interval,index_v,middle_angle,middle_interval,middle_v,ring_angle,ring_interval,ring_v,pinky_angle,pinky_interval,pinky_v,palm_angle,palm_interval,palm_v,date_now
13,170,6,20.1189648840391,170,6,27.6948061787461,170,6,26.5527729752267,118,4,29.3978674324401,127,5,28.1235117708621,148,5,20.8161434029589,2021/12/2 12:25:12
14,163,6,15.0240377765153,163,6,19.8494323342062,163,6,29.6975303098766,148,5,36.2712873453825,155,6,33.0570040469566,159,6,22.2848360322974,2021/12/2 12:25:12
15,172,6,15.3640958091537,172,6,15.9164465739068,172,6,19.3001234719536,177,6,18.9776019190957,171,6,16.7796903114952,171,6,16.0549071225642,2021/12/2 12:25:12
16,129,5,19.091701373421,129,5,21.3813794795043,129,5,24.211975114059,163,6,20.7219385342207,166,6,19.6780683037773,157,6,18.7263427078375,2021/12/2 12:25:12
17,124,5,40.6845691862481,124,5,14.3019050947631,124,5,17.4741597878748,172,6,14.4752345352793,133,5,21.3196285307546,158,6,11.621760290168,2021/12/2 12:25:12
18,154,6,12.8071429974133,154,6,11.7660007958867,154,6,12.4124145814395,151,6,12.376615469075,164,6,10.757804477868,144,5,11.425041117803,2021/12/2 12:25:12
19,129,5,13.6462050853882,129,5,8.68943795122625,129,5,12.6125390518506,132,5,11.2463180538066,121,5,8.74968193715979,166,6,8.40676285651939,2021/12/2 12:25:12
20,112,4,16.7265118424206,112,4,14.451528334823,112,4,16.2665755528333,127,5,18.5539182237558,148,5,16.8242978044259,160,6,17.3560739997906,2021/12/2 12:25:12
21,146,5,17.3497813732807,146,5,12.9070384488005,146,5,12.257601365904,106,4,7.38980208241714,160,6,6.84991565881133,135,5,10.0162421027873,2021/12/2 12:25:12
22,143,5,10.6623894079531,143,5,8.3904639218205,143,5,9.20155428030579,155,6,12.6090866293737,159,6,12.3805589388424,132,5,7.12685164541491,2021/12/2 12:25:12
23,129,5,6.25396556559249,129,5,5.90664914719298,129,5,10.555618994919,124,5,14.7705963248704,128,5,10.8854273194059,141,5,6.11240244165733,2021/12/2 12:25:12
24,154,6,18.1738996214065,154,6,6.64885967315297,154,6,5.66286586879571,135,5,7.50221427438479,142,5,9.07590543767,107,4,7.32298195174327,2021/12/2 12:25:12
25,45,2,24.8848306174131,45,2,9.22249394291148,45,2,11.5688122242658,172,6,17.2483783024805,176,6,24.3985180991017,168,6,10.8321349079801,2021/12/2 12:25:12
26,164,6,12.1409089605137,164,6,13.2670470540516,164,6,10.5778197302945,150,6,11.5560374112648,137,5,13.9610857837189,166,6,12.2269190051405,2021/12/2 12:25:12
27,141,5,11.8890010433822,141,5,10.4811280643808,141,5,14.2911587191682,155,6,16.1536229171812,142,5,13.5110760576168,139,5,13.7706242585967,2021/12/2 12:25:12
28,176,6,7.04858827653516,176,6,12.853338391015,176,6,14.3195030049655,171,6,14.7546733508563,165,6,11.3716477567181,178,6,8.404244206584,2021/12/2 12:25:12
29,53,2,10.1076332293795,53,2,17.2367330623289,53,2,20.1824367995449,178,6,20.7279747013204,172,6,15.5111701729428,175,6,7.47743564986232,2021/12/2 12:25:12
30,87,3,5.7581585524968,87,3,15.4600097481975,87,3,17.5032990483874,116,4,21.0002410467322,149,5,25.3736266969804,143,5,9.42929788376458,2021/12/2 12:25:12
31,156,6,16.0884848224499,156,6,35.1713357682931,156,6,16.2359718533807,162,6,27.0316509028894,170,6,36.7248908210622,139,5,9.75219625085827,2021/12/2 12:25:12
32,49,2,14.0989662377204,49,2,36.0287233888812,49,2,18.7279951112093,67,3,22.5620660989993,93,4,28.3931510229433,123,5,10.1391654347159,2021/12/2 12:25:12
33,154,6,18.3566745932296,154,6,28.0829546390156,154,6,23.723572390518,138,5,19.5430820425872,132,5,14.1927693997496,169,6,10.1827362960376,2021/12/2 12:25:12
34,163,6,19.9994657074788,163,6,25.1256824963233,163,6,24.3588043343632,144,5,25.2919449082074,131,5,18.9041827245222,166,6,8.80632847947571,2021/12/2 12:25:12
35,171,6,28.2219787207817,171,6,23.0549095574953,171,6,17.3414588578209,159,6,13.2264464206393,157,6,11.3764800300584,163,6,13.9820169890562,2021/12/2 12:25:12
36,169,6,21.3636565324563,169,6,22.2732951778713,169,6,15.3785500186839,128,5,14.5526049272121,164,6,14.2850678075112,171,6,14.8183431708705,2021/12/2 12:25:12
37,155,6,18.9769351827975,155,6,10.3939585863282,155,6,8.59664965058227,100,4,7.30063701045313,61,3,9.57683271000216,156,6,12.679372550035,2021/12/2 12:25:12
38,148,5,16.9413425094781,148,5,7.1600480139801,148,5,20.8620632952499,166,6,30.2485738040011,166,6,29.8618422069352,124,5,8.0228394722695,2021/12/2 12:25:12
39,139,5,7.78013960044144,139,5,2.92821042550249,139,5,16.6516409640569,128,5,24.0426945506369,127,5,23.0645398943732,129,5,2.00646275093119,2021/12/2 12:25:12
40,157,6,9.78130100431397,157,6,8.44958545263936,157,6,9.37615641649738,108,4,8.05771422651128,118,4,9.21076659894425,149,5,7.72714011640443,2021/12/2 12:25:12
41,77,3,6.14113515914392,77,3,6.49085631064485,77,3,5.36418238612672,133,5,5.51802791856748,104,4,5.31597912694134,137,5,5.79740884539624,2021/12/2 12:25:12
42,160,6,14.3527076539423,160,6,9.50081279685071,160,6,10.206759126639,150,6,9.53609928047641,158,6,12.9850525155071,131,5,7.62442431623536,2021/12/2 12:25:12
43,112,4,11.0925079372383,112,4,3.19103867913805,112,4,6.99208314719712,97,4,5.85434839499199,138,5,9.39929204463429,132,5,5.1292280395187,2021/12/2 12:25:12
44,109,4,8.22865778059688,109,4,3.71569200261903,109,4,6.53485132286261,44,2,11.8811294417787,27,1,14.5858455209264,127,5,9.11834370466306,2021/12/2 12:25:13
45,178,6,16.5779240971234,178,6,5.5756873459962,178,6,8.95212591198327,39,2,13.5897355618104,44,2,17.7963545323032,127,5,5.7233194638031,2021/12/2 12:25:13
46,78,3,16.1562928428637,78,3,7.96327912188869,78,3,12.1105885499331,144,5,13.3599774823808,55,2,10.299617152162,131,5,7.44073481952146,2021/12/2 12:25:13
47,37,2,1.11433635592845,37,2,5.35016069766953,37,2,5.3710763931379,132,5,3.80502057990365,129,5,4.44496859807735,125,5,5.45403434328034,2021/12/2 12:25:13
48,88,3,2.05550301024657,88,3,7.29466133504943,88,3,8.26776837302186,136,5,7.23088200207216,94,4,6.90066934560449,154,6,3.19960713191951,2021/12/2 12:25:13
49,107,4,14.3662817071752,107,4,10.8772360981598,107,4,14.394414318587,135,5,15.6083919835602,132,5,12.0136504143001,143,5,4.6946686708728,2021/12/2 12:25:13
50,61,3,2.0633035497553,61,3,5.88039093964746,61,3,8.61551637997377,82,3,8.71590956122161,116,4,10.0200514487483,169,6,10.5875298068602,2021/12/2 12:25:13
51,163,6,23.6739933980943,163,6,6.68054148256185,163,6,6.79848504547632,31,2,10.4949712159042,94,4,8.5958713372928,40,2,7.30109743060592,2021/12/2 12:25:13
52,136,5,22.9425933367816,136,5,3.79057297033306,136,5,6.84062011228152,14,1,6.72195033326567,51,2,4.05816992530782,128,5,2.07197647085289,2021/12/2 12:25:13
53,86,3,9.08504676228548,86,3,3.7465004269608,86,3,2.70639071265561,56,2,6.71535117960842,121,5,13.9362299532922,68,3,2.3113846614873,2021/12/2 12:25:13
54,142,5,9.22247092301792,142,5,8.373801602994,142,5,7.45283653157358,119,4,4.43321808919905,126,5,2.28740071719808,159,6,9.93186519785455,2021/12/2 12:25:13
55,50,2,17.7986909363863,50,2,12.0766391502786,50,2,9.04126262736497,95,4,4.66095832075452,50,2,10.9489839761278,123,5,6.57210677800797,2021/12/2 12:25:13
56,124,5,9.35857676375818,124,5,6.21013078139025,124,5,3.36301859883019,115,4,3.58480885613024,115,4,5.16984962674317,130,5,4.78932668481874,2021/12/2 12:25:13
57,117,4,5.35503310168664,117,4,5.55955614039555,117,4,9.78885843992421,77,3,7.95813804396334,129,5,9.73509564344388,135,5,5.64720365852339,2021/12/2 12:25:13
58,54,2,15.8249150529913,54,2,6.82960014285243,54,2,6.7662291350675,164,6,15.1617711381461,172,6,25.2313619141963,112,4,5.75269704569681,2021/12/2 12:25:13
59,77,3,16.5776673574238,77,3,13.4698877706921,77,3,11.4420315567302,165,6,13.9230536551823,176,6,13.9976307923643,143,5,11.2430250056534,2021/12/2 12:25:13
60,98,4,13.2220690016481,98,4,10.2729649988803,98,4,13.7240053085549,176,6,24.8120876132238,176,6,34.7676176327033,171,6,8.49978756444228,2021/12/2 12:25:13
61,134,5,13.9186413040658,134,5,17.1645664545956,134,5,22.9532679659563,171,6,30.7371539527038,168,6,30.6613362811134,137,5,12.27878721945,2021/12/2 12:25:13
62,120,5,34.8385347205648,120,5,20.2590678715998,120,5,23.209988300514,171,6,27.802454350918,170,6,22.3020441584474,159,6,13.3354982532717,2021/12/2 12:25:13
63,134,5,10.6244788145019,134,5,12.554606371458,134,5,15.7195666351811,158,6,20.8526018854088,161,6,22.7271476574492,164,6,11.3690425892364,2021/12/2 12:25:13
64,172,6,24.2990163580557,172,6,18.0966353329914,172,6,13.0401833663496,160,6,14.342585041923,157,6,16.8952924443603,171,6,14.9302440818052,2021/12/2 12:25:13
65,174,6,15.0684023741989,174,6,15.3299946588175,174,6,9.50656709038714,139,5,7.83165877705131,88,3,7.7807000458928,176,6,11.9161673954259,2021/12/2 12:25:13
66,89,3,10.4439619238042,89,3,12.7336541603067,89,3,7.37808113381435,91,4,3.5479295698405,140,5,2.88766385349401,175,6,9.45712735416841,2021/12/2 12:25:13
67,79,3,2.07262125036032,79,3,2.7594501083389,79,3,1.80555420152016,34,2,3.01190273105587,59,2,4.37211286763328,159,6,3.05505372765615,2021/12/2 12:25:13
68,169,6,9.6219103055001,169,6,16.6017300731728,169,6,19.278365458076,96,4,15.2777117124942,102,4,8.58069740894912,161,6,8.23182691189155,2021/12/2 12:25:13
69,136,5,6.02777709794878,136,5,1.77842439672227,136,5,4.64670094585077,125,5,5.83196139094634,100,4,9.57800698412427,173,6,14.6570369053749,2021/12/2 12:25:13
70,85,3,22.0061060572883,85,3,1.65814021281964,85,3,7.76579682298537,114,4,14.2561936056121,83,3,19.4303780644604,168,6,11.955747029996,2021/12/2 12:25:13
71,85,3,3.59873680299875,85,3,11.7033491908733,85,3,12.302937453756,107,4,11.6343993883961,96,4,16.6022276976485,160,6,15.8148135355584,2021/12/2 12:25:13
72,75,3,7.64510100065041,75,3,18.3992377583873,75,3,24.7163247629735,172,6,26.0585067870302,77,3,22.7207031792205,143,5,13.6423868517682,2021/12/2 12:25:13
73,123,5,16.6379608182682,123,5,10.4067404203328,123,5,12.1835936050289,103,4,5.28254815642598,162,6,8.19280082348379,154,6,4.6796365350181,2021/12/2 12:25:13
74,125,5,7.12682793717477,125,5,5.91542040938437,125,5,6.15016872583412,129,5,6.7500763550903,141,5,10.8176134667797,122,5,7.49249556588034,2021/12/2 12:25:13
75,140,5,7.22163257108741,140,5,13.0015901624493,140,5,14.2749943451703,166,6,15.8031491684379,173,6,16.5150998121311,164,6,11.07033146287,2021/12/2 12:25:13
76,166,6,5.88681698649175,166,6,12.2914934515192,166,6,20.6396270420829,165,6,25.1598973655805,164,6,23.3907395465475,164,6,7.12376414592988,2021/12/2 12:25:13
77,161,6,4.33157595074215,161,6,5.30824108289683,161,6,6.85905719449328,167,6,8.01473442444368,169,6,7.26589872018049,162,6,6.67016914535967,2021/12/2 12:25:13
78,77,3,7.38528190801624,77,3,7.96406651252012,77,3,7.67133291640139,158,6,9.75585154798696,163,6,14.2741145749744,160,6,8.06965702627136,2021/12/2 12:25:13
79,172,6,17.3247981698021,172,6,14.6366580727956,172,6,16.4167265553001,100,4,18.018411778156,50,2,15.306389477977,175,6,11.0019019642144,2021/12/2 12:25:13
80,170,6,29.5948492857076,170,6,16.9707436574744,170,6,12.4902252701424,115,4,6.4814163470947,170,6,8.56857161580303,161,6,11.3526856331161,2021/12/2 12:25:13
81,166,6,11.3529856172145,166,6,10.6798537256376,166,6,13.0809574940375,149,5,8.8740508470787,25,1,3.58213246089664,159,6,8.80967907793597,2021/12/2 12:25:13
82,175,6,15.1761354494894,175,6,11.1885279753897,175,6,16.8462156361658,168,6,17.5978529407624,153,6,9.511736621879,160,6,15.4749484439533,2021/12/2 12:25:13
83,172,6,32.0602120738702,172,6,40.1121513735205,172,6,42.2436312132993,175,6,41.602264350603,175,6,36.0935286819577,174,6,24.4266596553351,2021/12/2 12:25:13
84,179,6,55.0637096145484,179,6,51.7161898478492,179,6,66.9958576776187,175,6,81.0256821997461,173,6,77.1741095480193,176,6,42.8253562657959,2021/12/2 12:25:13
85,173,6,62.218794282493,173,6,64.2677981114408,173,6,75.8468771590504,179,6,82.680530306571,178,6,73.7793145461637,178,6,49.217821884185,2021/12/2 12:25:13
86,173,6,100.454765866933,173,6,90.8909288152952,173,6,103.221889056055,174,6,110.102725777061,173,6,91.7858435358601,171,6,68.6727693109319,2021/12/2 12:25:13
87,177,6,113.984182017718,177,6,110.952989037646,177,6,116.054486535355,178,6,111.469974619514,179,6,97.5477205026594,178,6,78.0445077615985,2021/12/2 12:25:13
88,174,6,145.566785145997,174,6,130.105617727867,174,6,126.026370381646,176,6,118.769084592692,176,6,110.883417321868,175,6,107.770254252184,2021/12/2 12:25:13
89,171,6,166.172782983704,171,6,130.681006468204,171,6,129.530363914831,177,6,128.485905439375,177,6,126.642439125901,178,6,127.946176463199,2021/12/2 12:25:13
90,175,6,164.111574796309,175,6,170.216684753282,175,6,180.968431925263,174,6,188.671362735043,171,6,194.013603141689,176,6,172.354302098168,2021/12/2 12:25:13
91,177,6,156.858611258098,177,6,159.477100109482,177,6,153.994147158716,177,6,146.248251407214,178,6,148.856903285892,178,6,175.418436418955,2021/12/2 12:25:13
92,177,6,170.45376124173,177,6,195.470495370838,177,6,188.782857285659,178,6,170.919586545808,179,6,159.802998309468,179,6,184.298197239212,2021/12/2 12:25:13
93,166,6,152.556066343613,166,6,201.004987952881,166,6,188.355342430186,170,6,164.894887874128,172,6,151.745044546805,175,6,180.729600916933,2021/12/2 12:25:13
94,170,6,113.009060492742,170,6,142.460976221063,170,6,164.060011511568,174,6,175.005553864871,175,6,188.505281482735,177,6,160.8626703782,2021/12/2 12:25:13
